form	lemmaId	lemma	linkType	pos	via	note
eish	eisht.x	eisht	phillips	adv.	eisht	phillips-1610
elle	elley.x	elley	phillips	pro. adv.	elley	phillips-1610;questionable
enyd	ynnyd.n	ynnyd	phillips	s. f.	ynnyd	phillips-1610;questionable
erbi	erbee.x	erbee	phillips		erbee	phillips-1610
erick	eairk.n	eairk	phillips	s. m.	eairk	phillips-1610;questionable
ern	er.x	er	phillips	pre.	er	phillips-1610
erson	son.x	son	phillips		son	phillips-1610
eshyin	eshyn.x	eshyn	phillips	pro.	eshyn	phillips-1610;questionable
eyl	eill.v	eill	phillips	v.	eill	phillips-1610;questionable
fackin	fakin.v	fakin	phillips	v.	fakin	phillips-1610;questionable
fallaghy	follaghey.v	follaghey	phillips	v.	follaghey	phillips-1610;questionable
falli	foll.v	foll	phillips	v.	follee	phillips-1610;questionable
fallsy	foalsey.a	foalsey	phillips	a.	foalsey	phillips-1610;questionable
fardayl	fardail.n	fardail	phillips	s. m.	fardail	phillips-1610;questionable
fe	fea.n	fea	phillips	s. m.	fea	phillips-1610;questionable
fei	fey.n	fey	phillips	s.	fey	phillips-1610;questionable
feyl	feill.n	feill	phillips	s. f.	feill	phillips-1610;questionable
feyr	faiyr.n	faiyr	phillips	s. f.	faiyr	phillips-1610;questionable
fiid	feed.n	feed	phillips	s.	feed	phillips-1610;questionable
fiir	feer.x	feer	phillips	adv.	feer	phillips-1610;questionable
flaghy	fliaghey.n	fliaghey	phillips	s. m.	fliaghey	phillips-1610;questionable
fodey	foddey.x	foddey	phillips	adv.	foddey	phillips-1610;questionable
fodey	foddey.a	foddey	phillips	a.	foddey	phillips-1610;questionable
fodiaght	foddiaght.n	foddiaght	phillips	s.	foddeeaght	phillips-1610;questionable
foost	foast.x	foast	phillips	adv.	foast	phillips-1610;questionable
foskilt	foshlit.x	foshlit	phillips		foshlit	phillips-1610;questionable
foskyl	foshl.v	foshl	phillips	v.	foshil	phillips-1610;questionable
foyst	foast.x	foast	phillips	adv.	foast	phillips-1610;questionable
fwil	fuill.v	fuill	phillips	v.	fuill	phillips-1610;questionable
fwil	fuill.n	fuill	phillips	s. f.	fuill	phillips-1610;questionable
fwill	fuill.v	fuill	phillips	v.	fuill	phillips-1610;questionable
fwill	fuill.n	fuill	phillips	s. f.	fuill	phillips-1610;questionable
fwo	fo.x	fo	phillips	pre.	fo	phillips-1610;questionable
fyss	fys.n	fys	phillips	s. m.	fys	phillips-1610;questionable
gannoil	gennal.a	gennal	phillips	a.	gennal	phillips-1610;questionable
gawsyn	dauesyn.x	dauesyn	phillips	p. p.	dauesyn	phillips-1610;questionable
gene	deiney.n	deiney	phillips	s.	gheiney	phillips-1610;questionable
ghasmedjyn	kesmad.n	kesmad	phillips	s.	chesmadyn	phillips-1610;questionable
ghass	chass.n	chass	phillips	s.	chass	phillips-1610;questionable
ghassrikys	chasherickys.n	chasherickys	phillips	s.	chasherickys	phillips-1610;questionable
ghassrikys	keck.v	keck	phillips	v.	chasherickys	phillips-1610;questionable
ghemmirk	kemmyrk.n	kemmyrk	phillips	s.	chemmyrk	phillips-1610;questionable
ghlyeshyn	chleaysh.n	chleaysh	phillips	s.	chleayshyn	phillips-1610;questionable
ghonick	honnick.v	honnick	phillips	v.	honnick	phillips-1610;questionable
ghora	choraa.n	choraa	phillips	s.	choraa	phillips-1610;questionable
ghorri	chorree.n	chorree	phillips	s.	chorree	phillips-1610;questionable
ghoud	choud.x	choud	phillips	adv.	choud	phillips-1610;questionable
ghowd	choud.x	choud	phillips	adv.	choud	phillips-1610
ghregg	chreg.n	chreg	phillips	s.	chreg	phillips-1610;questionable
ghwiliny	chooilleen.v	chooilleen	phillips	v.	chooilleeney	phillips-1610;questionable
ghwiliny	chooilleeney.n	chooilleeney	phillips	s.	chooilleeney	phillips-1610;questionable
ghwish	chooish.n	chooish	phillips	s.	chooish	phillips-1610;questionable
ghwmmel	chummal.n	chummal	phillips	s.	chummal	phillips-1610;questionable
ghwnaynt	chonaant.n	chonaant	phillips	s.	chonaant	phillips-1610;questionable
ghwne	chooney.n	chooney	phillips	s.	chooney	phillips-1610;questionable
ghwney	chooney.n	chooney	phillips	s.	chooney	phillips-1610;questionable
ghwyney	chooney.n	chooney	phillips	s.	chooney	phillips-1610;questionable
giin	nyn.x	nyn	phillips	pro.	nyn	phillips-1610;questionable
gimiaght	immeeaght.v	immeeaght	phillips	v.	gimmeeaght	phillips-1610;questionable
girri	irree.v	irree	phillips	v.	girree	phillips-1610;questionable
gloroil	gloyroil.a	gloyroil	phillips	a.	gloyroil	phillips-1610;questionable
gniart	niart.n	niart	phillips	s. m.	niart	phillips-1610
gniart	niart.v	niart	phillips	v.	niart	phillips-1610
gniartoil	niartal.a	niartal	phillips	a.	niartal	phillips-1610
goyms	goym.v	goym	phillips	v.	goym	phillips-1610;questionable
grasoil	graysoil.a	graysoil	phillips	a.	graysoil	phillips-1610;questionable
grayi	graih.n	graih	phillips	s. f.	graih	phillips-1610;questionable
gri	cree.n	cree	phillips	s.	gree	phillips-1610;questionable
grien	ghrian.n	ghrian	phillips	s.	ghrian	phillips-1610;questionable
gw	goo.n	goo	phillips	s. m.	goo	phillips-1610;questionable
gwrr	coyrt.v	coyrt	phillips	v.	goyrt	phillips-1610;questionable
gygh	gagh.x	gagh	phillips	pro.	gagh	phillips-1610;questionable
haglw	taggloo.v	taggloo	phillips	v.	haggloo	phillips-1610;questionable
hange	chengey.n	chengey	phillips	s.	hengey	phillips-1610;questionable
harnyn	ayrn.n	ayrn	phillips	s. m.	ayrnyn	phillips-1610;questionable
hatiwnyn	ashoon.n	ashoon	phillips	s. f.	ashoonyn	phillips-1610;questionable
hawalys	saualtys.n	saualtys	phillips	s.	haualtys	phillips-1610
hawayl	sauail.v	sauail	phillips	v.	hauail	phillips-1610;questionable
heiaghe	soiaghey.x	soiaghey	phillips		hoiaghey	phillips-1610;questionable
heiaghe	soiaghey.v	soiaghey	phillips	v.	hoiaghey	phillips-1610;questionable
heiaghy	soiaghey.x	soiaghey	phillips		hoiaghey	phillips-1610;questionable
heiaghy	soiaghey.v	soiaghey	phillips	v.	hoiaghey	phillips-1610;questionable
heidjyn	side.n	side	phillips	s.	hideyn	phillips-1610;questionable
hervaynt	sharvaant.n	sharvaant	phillips	s.	harvaant	phillips-1610
hiampyl	chiamble.n	chiamble	phillips	s.	hiamble	phillips-1610;questionable
hilge	tilgey.v	tilgey	phillips	v.	hilgey	phillips-1610;questionable
hilliy	shilley.v	shilley	phillips	v.	hilley	phillips-1610;questionable
hilliy	shilley.n	shilley	phillips	s.	hilley	phillips-1610;questionable
hilogh	sheeloghe.n	sheeloghe	phillips	s.	heeloghe	phillips-1610;questionable
hobraghyn	obbyr.n	obbyr	phillips	s. f.	obbraghyn	phillips-1610;questionable
hreisteel	treishteil.v	treishteil	phillips	v.	hreishteil	phillips-1610
hrogel	troggal.v	troggal	phillips	v.	hroggal	phillips-1610;questionable
hwg	hug.v	hug	phillips	v.	hug	phillips-1610;questionable
hwg	hug.x	hug	phillips	pre.	hug	phillips-1610;questionable
hwilyn	sooill.n	sooill	phillips	s.	hooillyn	phillips-1610;questionable
hyei	hie.v	hie	phillips	v.	hie	phillips-1610;questionable
hynda	chyndaa.v	chyndaa	phillips	v.	hyndaa	phillips-1610;questionable
hyrvaynt	sharvaant.n	sharvaant	phillips	s.	harvaant	phillips-1610;questionable
iarg	jiarg.a	jiarg	phillips	a.	jiarg	phillips-1610;questionable
iarg	jiarg.v	jiarg	phillips	v.	jiarg	phillips-1610;questionable
iarn	yiarn.n	yiarn	phillips	s. m.	yiarn	phillips-1610;questionable
iarn	yiarn.v	yiarn	phillips	v.	yiarn	phillips-1610;questionable
iarw	jarrood.v	jarrood	phillips	v.	yarrood	phillips-1610;questionable
iarwd	jarrood.v	jarrood	phillips	v.	yarrood	phillips-1610;questionable
ias	as.x	as	phillips	conj.	as	phillips-1610;questionable
iaskyr	astyr.v	astyr	phillips	v.	astyr	phillips-1610;questionable
ientysagh	yindyssagh.a	yindyssagh	phillips	a.	yindyssagh	phillips-1610;questionable
ientysagh	yindyssagh.n	yindyssagh	phillips	s. m.	yindyssagh	phillips-1610;questionable
ientyssagh	yindyssagh.a	yindyssagh	phillips	a.	yindyssagh	phillips-1610;questionable
ientyssagh	yindyssagh.n	yindyssagh	phillips	s. m.	yindyssagh	phillips-1610;questionable
ientyssyn	yindys.n	yindys	phillips	s. m.	yindyssyn	phillips-1610;questionable
ierish	earish.n	earish	phillips	s.	earish	phillips-1610;questionable
iew	yiow.x	yiow	phillips	p.	yiow	phillips-1610;questionable
ii	y.x	y	phillips		y	phillips-1610;questionable
immy	shimmey.a	shimmey	phillips	a.	shimmey	phillips-1610;questionable
iniin	inneen.n	inneen	phillips	s. f.	inneen	phillips-1610;questionable
ininyn	inneen.n	inneen	phillips	s. f.	inneenyn	phillips-1610;questionable
jaghyn	jeeaghyn.v	jeeaghyn	phillips	v.	jeeaghyn	phillips-1610;questionable
jallwnyn	jalloo.n	jalloo	phillips	s. m.	jallooyn	phillips-1610;questionable
jan	joan.n	joan	phillips	s. m.	joan	phillips-1610;questionable
jan	joan.v	joan	phillips	v.	joan	phillips-1610;questionable
jange	chengey.n	chengey	phillips	s.	jengey	phillips-1610;questionable
jant	jeant.x	jeant	phillips		jeant	phillips-1610;questionable
janw	jannoo.v	jannoo	phillips	v.	jannoo	phillips-1610
jarwd	jarrood.v	jarrood	phillips	v.	jarrood	phillips-1610;questionable
jarwd	jarrood.n	jarrood	phillips	s. m.	jarrood	phillips-1610;questionable
jass	jiass.x	jiass	phillips		jiass	phillips-1610;questionable
jeaghigi	jeeagh.v	jeeagh	phillips	v.	jeeagh	phillips-1610;questionable
jeaghigi	jeeagh.x	jeeagh	phillips	in.	jeeagh	phillips-1610;questionable
jeaghyn	jeeaghyn.v	jeeaghyn	phillips	v.	jeeaghyn	phillips-1610;questionable
jenid	chennid.n	chennid	phillips	s.	jennid	phillips-1610;questionable
jere	jerrey.n	jerrey	phillips	s. m.	jerrey	phillips-1610;questionable
jih	jeh.x	jeh	phillips	pro.	jeh	phillips-1610;questionable
jiragh	jeeragh.a	jeeragh	phillips	a.	jeeragh	phillips-1610;questionable
jit	cheet.n	cheet	phillips	s.	jeet	phillips-1610;questionable
jit	cheet.v	cheet	phillips	v.	jeet	phillips-1610;questionable
jogh	jough.n	jough	phillips	s. f.	jough	phillips-1610;questionable
kaban	cabbane.n	cabbane	phillips	s. m.	cabbane	phillips-1610;questionable
kabanyn	cabbane.n	cabbane	phillips	s. m.	cabbaneyn	phillips-1610;questionable
kabyl	cabbyl.n	cabbyl	phillips	s. m.	cabbyl	phillips-1610;questionable
kadly	cadley.v	cadley	phillips	v.	cadley	phillips-1610;questionable
kadly	cadley.n	cadley	phillips	s. m.	cadley	phillips-1610;questionable
kagey	caggey.n	caggey	phillips	s. m.	caggey	phillips-1610;questionable
kaid	caid.x	caid	phillips	adv.	caid	phillips-1610;questionable
kaidj	caid.x	caid	phillips	adv.	caid	phillips-1610;questionable
kasly	casley.a	casley	phillips	a.	casley	phillips-1610;questionable
kasserick	casherick.a	casherick	phillips	a.	casherick	phillips-1610;questionable
kayrys	cairys.n	cairys	phillips	s. m.	cairys	phillips-1610
kayrys	cairys.v	cairys	phillips	v.	cairys	phillips-1610
kedyn	cheddin.a	cheddin	phillips	a.	cheddin	phillips-1610;questionable
keindylys	kenjallys.n	kenjallys	phillips	s. m.	kenjallys	phillips-1610;questionable
kian	kione.n	kione	phillips	s. m.	kione	phillips-1610;questionable
kiangoyrt	kiongoyrt.x	kiongoyrt	phillips		kiongoyrt	phillips-1610;questionable
kientagh	kyndagh.x	kyndagh	phillips	conj.	kyndagh	phillips-1610;questionable
kientagh	kyndagh.a	kyndagh	phillips	a.	kyndagh	phillips-1610;questionable
kientagh	kyndagh.n	kyndagh	phillips	s. m.	kyndagh	phillips-1610;questionable
