form	lemmaId	lemma	linkType	pos	via	note
nobel	nobel.np	Nobel	self	np. other	Nobel	
noidjin	noidjin.np	Noidjin	self	np. other	Noidjin	
noph	noph.np	Noph	self	np. other	Noph	
norlann	norlann.np	Norlann	self	np. other	Norlann	
norman	norman.np	Norman	self	np. other	Norman	
normanee	normanee.np	Normanee	self	np. ethnonym	Normanee	
northumberland	northumberland.np	Northumberland	self	np. other	Northumberland	
nun	nun.np	Nun	self	np. personal	Nun	
oallyssyn	oallyssyn.np	Oallyssyn	self	np. ethnonym	Oallyssyn	
oarpagh	oarpagh.np	Oarpagh	self	np. ethnonym	Oarpagh	
oarpey	oarpey.np	Oarpey	self	np. place	Oarpey	
obadiah	obadiah.np	Obadiah	self	np. personal	Obadiah	
oban	oban.np	Oban	self	np. other	Oban	
obed	obed.np	Obed	self	np. personal	Obed	
obed edom	obed-edom.np	Obed-Edom	self	np. personal	Obed-Edom	
obededom	obed-edom.np	Obed-Edom	self	np. personal	Obed-Edom	collapsed
ocran	ocran.np	Ocran	self	np. other	Ocran	
october	october.np	October	self	np. other	October	
odin	odin.np	Odin	self	np. personal	Odin	
og	og.np	Og	self	np. personal	Og	
ohio	ohio.np	Ohio	self	np. other	Ohio	
olbynee	olbynee.np	Olbynee	self	np. ethnonym	Olbynee	
oldfield	oldfield.np	Oldfield	self	np. other	Oldfield	
olga	olga.np	Olga	self	np. other	Olga	
omri	omri.np	Omri	self	np. personal	Omri	
onan	onan.np	Onan	self	np. personal	Onan	
ono	ono.np	Ono	self	np. other	Ono	
ontario	ontario.np	Ontario	self	np. other	Ontario	
ophel	ophel.np	Ophel	self	np. other	Ophel	
ophir	ophir.np	Ophir	self	np. place	Ophir	
ophrah	ophrah.np	Ophrah	self	np. other	Ophrah	
oppenheimer	oppenheimer.np	Oppenheimer	self	np. personal	Oppenheimer	
oreb	oreb.np	Oreb	self	np. other	Oreb	
oriant	oriant.np	Oriant	self	np. other	Oriant	
ornan	ornan.np	Ornan	self	np. other	Ornan	
orree	orree.np	Orree	self	np. personal	Orree	
oscar	oscar.np	Oscar	self	np. other	Oscar	
osias	osias.np	Osias	self	np. other	Osias	
ostaig	ostaig.np	Ostaig	self	np. other	Ostaig	
othniel	othniel.np	Othniel	self	np. personal	Othniel	
owen	owen.np	Owen	self	np. other	Owen	
oxford	oxford.np	Oxford	self	np. other	Oxford	
ozias	ozias.np	Ozias	self	np. other	Ozias	
padan aram	padan-aram.np	Padan-Aram	self	np. other	Padan-Aram	
padanaram	padan-aram.np	Padan-Aram	self	np. other	Padan-Aram	collapsed
paddy	paddy.np	Paddy	self	np. personal	Paddy	
phaddy	paddy.np	Paddy	mutation	np. personal	Paddy	generated-lenition
baddy	paddy.np	Paddy	mutation	np. personal	Paddy	generated-eclipsis
pagiel	pagiel.np	Pagiel	self	np. other	Pagiel	
phagiel	pagiel.np	Pagiel	mutation	np. other	Pagiel	generated-lenition
bagiel	pagiel.np	Pagiel	mutation	np. other	Pagiel	generated-eclipsis
pahath moab	pahath-moab.np	Pahath-Moab	self	np. other	Pahath-Moab	
pahathmoab	pahath-moab.np	Pahath-Moab	self	np. other	Pahath-Moab	collapsed
pamphylia	pamphylia.np	Pamphylia	self	np. other	Pamphylia	
phamphylia	pamphylia.np	Pamphylia	mutation	np. other	Pamphylia	generated-lenition
bamphylia	pamphylia.np	Pamphylia	mutation	np. other	Pamphylia	generated-eclipsis
pantyfedwen	pantyfedwen.np	Pantyfedwen	self	np. other	Pantyfedwen	
phantyfedwen	pantyfedwen.np	Pantyfedwen	mutation	np. other	Pantyfedwen	generated-lenition
bantyfedwen	pantyfedwen.np	Pantyfedwen	mutation	np. other	Pantyfedwen	generated-eclipsis
paran	paran.np	Paran	self	np. place	Paran	
pharan	paran.np	Paran	mutation	np. place	Paran	generated-lenition
baran	paran.np	Paran	mutation	np. place	Paran	generated-eclipsis
pargeiys	pargeiys.np	Pargeiys	self	np. other	Pargeiys	
