senseId	lemmaId	dict	entryPath	gloss
bhuttag.n#1	bhuttag.n	cregeen	cregeen:bhuttag	shorter furrows than other parts of the field; a gusset;
bhuttag.n#2	bhuttag.n	cregeen	cregeen:yn vhuttag	the gusset or goar in ploughing
bingey.a#1	bingey.a	cregeen	cregeen:bingey	shrill
bingey.a#2	bingey.a	cregeen	cregeen:bingey	of a jury; as, deiney bingey (jurymen)
binjean.n#1	binjean.n	cregeen	cregeen:binjean	milk turned to crud with rennet, crudled in haste with rennet
binjean.n#2	binjean.n	cregeen	cregeen:yn vinjean	the curds and whey, the curded milk
bioee.v#1	bioee.v	cregeen	cregeen:bioee	enliven
bioee.v#2	bioee.v	cregeen	cregeen:vioee	did quicken or vivify
bioghey.v#1	bioghey.v	cregeen	cregeen:bioghey	enlivening, quickening
bioghey.v#2	bioghey.v	cregeen	cregeen:dy vioghey	to quicken or animate, to enliven or vivify
bite.n#1	bite.n	cregeen	cregeen:bite	bait to fish;
bite.n#2	bite.n	cregeen	cregeen:bite	wick;
blockan.n#1	blockan.n	cregeen	cregeen:blockan	a pollock fish;
blockan.n#2	blockan.n	cregeen	cregeen:yn vlockan	See blockan.
blouse.n#1	blouse.n	cregeen	cregeen:blouse	a slovenly woman
blouse.n#2	blouse.n	cregeen	cregeen:yn vlouse	the blowse
boannoo.n#1	boannoo.n	cregeen	cregeen:boannoo	a well nursed pig after being weaned, a half grown pig;
boannoo.n#2	boannoo.n	cregeen	cregeen:yn voannoo	the partly reared pig
boayl.n#1	boayl.n	cregeen	cregeen:boayl	a ball to play with;
boayl.n#2	boayl.n	cregeen	cregeen:boayl	a place;
voayll.n#1	voayll.n	cregeen	cregeen:yn voayll	the play ball
voayll.n#2	voayll.n	cregeen	cregeen:yn voayll	the place
boirane.n#1	boirane.n	cregeen	cregeen:boirane	a clamorous fellow
boirane.n#2	boirane.n	cregeen	cregeen:yn woirane	the troublesome one
boiranys.n#1	boiranys.n	cregeen	cregeen:boiranys	balderdash, brawl, bother, troublesomeness, tumult, the effects of being wrong…
boiranys.n#2	boiranys.n	cregeen	cregeen:e woiranys	his trouble, harassing
bolgagh.a#1	bolgagh.a	cregeen	cregeen:bolgagh	of the belly
bolgagh.a#2	bolgagh.a	cregeen	cregeen:bolgagh	of blisters
bolvane.n#1	bolvane.n	cregeen	cregeen:bolvane	a numskull, a blockhead;
bolvane.n#2	bolvane.n	cregeen	cregeen:yn volvane	the stupid person, the dolthead, the person dull of apprehension
booiagh.a#1	booiagh.a	cregeen	cregeen:booiagh	willing, content, satisfied.
booiagh.a#2	booiagh.a	cregeen	cregeen:feer wooiagh	very willing or pleased
vhoult.n#1	vhoult.n	cregeen	cregeen:e vhoult	his bolt
vhoult.n#2	vhoult.n	cregeen	cregeen:e vhoult	his mutton
brackey.n#1	brackey.n	cregeen	cregeen:dy vrackey	to sharpen a tool, and not by grinding
brackey.n#2	brackey.n	cregeen	cregeen:dy vrackey	to variegate
branlaadee.n#1	branlaadee.n	cregeen	cregeen:branlaadee	raving
branlaadee.n#2	branlaadee.n	cregeen	cregeen:e vranlaadee	his ravings
branlaader.n#1	branlaader.n	cregeen	cregeen:branlaader	a dreamer;
branlaader.n#2	branlaader.n	cregeen	cregeen:yn vranlaader	the raver
branlaadys.n#1	branlaadys.n	cregeen	cregeen:branlaadys	the action of raving
branlaadys.n#2	branlaadys.n	cregeen	cregeen:e vranlaadys	his ravings
brashlagh.n#1	brashlagh.n	cregeen	cregeen:brashlagh	something to brace, as a crupper
brashlagh.n#2	brashlagh.n	cregeen	cregeen:brashlagh	charlock or wild mustard
brasn.v#1	brasn.v	cregeen	cregeen:brasn	provoke, insult, excite to anger;
brasn.v#2	brasn.v	cregeen	cregeen:vrasn	did provoke, stimulate, or affront, did exasperate;
breimeyder.n#1	breimeyder.n	cregeen	cregeen:breimeyder	a breaker of wind
breimeyder.n#2	breimeyder.n	cregeen	cregeen:yn vreimeyder	the farter
brishey.v#1	brishey.v	cregeen	cregeen:brishey	breaking
brishey.v#2	brishey.v	cregeen	cregeen:er vrishey	hath, &c., broke or broken
broigheyder.n#1	broigheyder.n	cregeen	cregeen:broigheyder	a person who spoils with dirt;
broigheyder.n#2	broigheyder.n	cregeen	cregeen:yn vroigheyder	the dirtier
brynnagh.a#1	brynnagh.a	cregeen	cregeen:brynnagh	flattering, smooth or false talk;
brynnagh.a#2	brynnagh.a	cregeen	cregeen:feer vrynnagh	very pert or flatterous
buggane.n#1	buggane.n	cregeen	cregeen:buggane	a bug-bear, a browny, a scarecrow, something to frighten;
buggane.n#2	buggane.n	cregeen	cregeen:yn vuggane	the bugbear or brownee
bugogue.n#1	bugogue.n	cregeen	cregeen:bugogue	a buck thorn berry;
bugogue.n#2	bugogue.n	cregeen	cregeen:yn vugogue	the buckthorn
bun.n#1	bun.n	cregeen	cregeen:bun	the but end, the bottom end, the best part, the meaning;
bun.n#2	bun.n	cregeen	cregeen:nyn mun	your, &c. See bun
bwaag.n#1	bwaag.n	cregeen	cregeen:bwaag	a bowling stone, a stone worn round by the sea, a paving stone;
bwaag.n#2	bwaag.n	cregeen	cregeen:bwaag	a hut or booth;
caag.n#1	caag.n	cregeen	cregeen:caag	a forelock;
caag.n#2	caag.n	cregeen	cregeen:caag	a stopper, an attached linchpin;
caayney.v#1	caayney.v	cregeen	cregeen:caayney	tabering;
caayney.v#2	caayney.v	cregeen	cregeen:caayney	braying;
cadjinys.n#1	cadjinys.n	cregeen	cregeen:cadjinys	common custom, vulgarity
cadjinys.n#2	cadjinys.n	cregeen	cregeen:nyn gadjinys	your, &c. commonness
cammag.n#1	cammag.n	cregeen	cregeen:cammag	a crutch;
cammag.n#2	cammag.n	cregeen	cregeen:cammag	a cricket ball;
cayr.n#1	cayr.n	cregeen	cregeen:cayr	a knot in timber
cayr.n#2	cayr.n	cregeen	cregeen:nyn gayr	your, &c. car or carriage
khyr.n#1	khyr.n	cregeen	cregeen:khyr	knots
khyr.n#2	khyr.n	cregeen	cregeen:khyr	cars
kyr.n#1	kyr.n	cregeen	cregeen:kyr	See khyr
kyr.n#2	kyr.n	cregeen	cregeen:dy chyr	of knots
