form	headword	listId	gloss	binomial	note
collmea	Coll-mea	morrison-plants	Goosefoot (white)	Chenopodium viride	
lus yn ollee	Lus-yn-ollee	morrison-plants	Goutweed	Aeogopodium podagraria	
lusynollee	Lus-yn-ollee	morrison-plants	Goutweed	Aeogopodium podagraria	
faiyr	Faiyr	morrison-plants	Grass family	Gramineae	
traagh	traagh	morrison-plants	hay		
ard lossey	Ard-lossey	morrison-plants	Ground Ivy	Nepeta glechoma	
ardlossey	Ard-lossey	morrison-plants	Ground Ivy	Nepeta glechoma	
grunlus	Grunlus	morrison-plants	Groundel	Senecio vulgaris	the page prints 'Groundel'; read 'Groundsel'
mairanyn ferish	Mairanyn ferish	morrison-plants	Harebell	Campanula rotundifolia	
mairanynferish	Mairanyn ferish	morrison-plants	Harebell	Campanula rotundifolia	
lus y chengey veg	Lus-y-chengey veg	morrison-plants	Hawkweed (mouse-ear)	Hieracum pilosella	
lusychengeyveg	Lus-y-chengey veg	morrison-plants	Hawkweed (mouse-ear)	Hieracum pilosella	
drine skeag	Drine skeag	morrison-plants	Hawthorn	Crataegus oxyancantha	
drineskeag	Drine skeag	morrison-plants	Hawthorn	Crataegus oxyancantha	
coll	Coll	morrison-plants	Hazel	Corylus avellana	
follan fing	Follan fing	morrison-plants	Heath bedstraw	Galium saxatile	
follanfing	Follan fing	morrison-plants	Heath bedstraw	Galium saxatile	
aghaue	Aghaue	morrison-plants	Hemlock	Conium maculatum	
kennip	Kennip	morrison-plants	Hemp	Cannabis sativa	
jeshal	Jeshal	morrison-plants	Hemp agrimony	Eupatorium cannaginum	
connagh ny giark	Connagh-ny-giark	morrison-plants	Henbane	Hyoscyamus niger	
connaghnygiark	Connagh-ny-giark	morrison-plants	Henbane	Hyoscyamus niger	
lus ny freenaghyn mooarey	Lus-ny-freenaghyn mooarey	morrison-plants	Herb Robert	Geranium Robertianum	
lusnyfreenaghynmooarey	Lus-ny-freenaghyn mooarey	morrison-plants	Herb Robert	Geranium Robertianum	
