senseId	lemmaId	dict	entryPath	gloss
ching.a#1	ching.a	cregeen	cregeen:ro hing	too sick, too ill
ching.a#2	ching.a	cregeen	cregeen:ching	of the head or heads. gour e ching (headlong)
chleayn.n#1	chleayn.n	cregeen	cregeen:e chleayn	his harrows
chleayn.n#2	chleayn.n	cregeen	cregeen:yn chleayn	the allurement or enticement
clein.n#1	clein.n	cregeen	cregeen:clein	See cleaiyn or cleain.
clein.n#2	clein.n	cregeen	cregeen:clein	the clan, the surname
cleragh.n#1	cleragh.n	cregeen	cregeen:cleragh	a clerk.
cleragh.n#2	cleragh.n	cregeen	cregeen:cleragh	a piece put into the chimb of a wooden vessel.
clink.n#1	clink.n	cregeen	cregeen:clink	a curvature;
clink.n#2	clink.n	cregeen	cregeen:clink	a trick;; See clink
comys.n#1	comys.n	cregeen	cregeen:comys	offence, blame;
comys.n#2	comys.n	cregeen	cregeen:comys	the private part;
chomys.n#1	chomys.n	cregeen	cregeen:e chomys	his blame, or guilt
chomys.n#2	chomys.n	cregeen	cregeen:e chomys	his private part
cooin.v#1	cooin.v	cregeen	cregeen:cooin	remember, recollect;
cooin.v#2	cooin.v	cregeen	cregeen:cooin	i. help, aid, assist
chooin.v#1	chooin.v	cregeen	cregeen:chooin	did remember, or recollect;
chooin.v#2	chooin.v	cregeen	cregeen:chooin	helped, did help, aid, or assist
cooineyder.n#1	cooineyder.n	cregeen	cregeen:cooineyder	a rememberer
cooineyder.n#2	cooineyder.n	cregeen	cregeen:cooineyder	a coiner
coon.v#1	coon.v	cregeen	cregeen:coon	narrow;
coon.v#2	coon.v	cregeen	cregeen:coon	help, aid, assist;
corrym.a#1	corrym.a	cregeen	cregeen:corrym	equal, even
corrym.a#2	corrym.a	cregeen	cregeen:corrym	with child.
creagh.n#1	creagh.n	cregeen	cregeen:creagh	a furrow;
creagh.n#2	creagh.n	cregeen	cregeen:creagh	a stack;
chreagh.n#1	chreagh.n	cregeen	cregeen:yn chreagh	the furrow
chreagh.n#2	chreagh.n	cregeen	cregeen:yn chreagh	the stack
creaghey.v#1	creaghey.v	cregeen	cregeen:creaghey	furrowing
creaghey.v#2	creaghey.v	cregeen	cregeen:creaghey	stacking
creaghit.x#1	creaghit.x	cregeen	cregeen:creaghit	furrowed
creaghit.x#2	creaghit.x	cregeen	cregeen:creaghit	stacked
creeney.a#1	creeney.a	cregeen	cregeen:creeney	ripe, withered;
creeney.a#2	creeney.a	cregeen	cregeen:creeney	wise, provident.
cron.n#1	cron.n	cregeen	cregeen:nyn gron	your, &c. nuts
cron.n#2	cron.n	cregeen	cregeen:nyn gron	your, &c. reed
cron.n#3	cron.n	cregeen	cregeen:cron	a scar or cicatrice; a stain;
cronnag.n#1	cronnag.n	cregeen	cregeen:cronnag	a round top on the mast of a vessel, the crosstree;
cronnag.n#2	cronnag.n	cregeen	cregeen:cronnag	a rock that can be seen before low water;
croe.n#1	croe.n	cregeen	cregeen:croe	a coop
croe.n#2	croe.n	cregeen	cregeen:croe	an iron to put under a pot or griddle on the fire
croo.v#1	croo.v	cregeen	cregeen:croo	create;
croo.v#2	croo.v	cregeen	cregeen:croo	crawling in grubs, maggots, or vermin
cuirrit.x#1	cuirrit.x	cregeen	cregeen:cuirrit	bidden, invited
cuirrit.x#2	cuirrit.x	cregeen	cregeen:cuirrit	sown
guirr.v#1	guirr.v	cregeen	cregeen:nyn guirr	your sowing
guirr.v#2	guirr.v	cregeen	cregeen:guirr	hatch, hatching, &c.;
cullee.n#1	cullee.n	cregeen	cregeen:cullee	a colour or banner
cullee.n#2	cullee.n	cregeen	cregeen:cullee	the aspect of the air
cullee.n#3	cullee.n	cregeen	cregeen:cullee	the tackle, furniture, or apparatus to work any thing, as a mill, ship, boat, &c
chullee.n#1	chullee.n	cregeen	cregeen:yn chullee	the colour
chullee.n#2	chullee.n	cregeen	cregeen:yn chullee	the aspect
cummee.a#1	cummee.a	cregeen	cregeen:cummee	of holding
cummee.a#2	cummee.a	cregeen	cregeen:cummee	of form or shape
cummit.x#1	cummit.x	cregeen	cregeen:cummit	held, stopt
cummit.x#2	cummit.x	cregeen	cregeen:cummit	formed, modelled, hewn;
cummeyder.n#1	cummeyder.n	cregeen	cregeen:cummeyder	a holder
cummeyder.n#2	cummeyder.n	cregeen	cregeen:cummeyder	a former
daah.v#1	daah.v	cregeen	cregeen:ghaah	dyed, did dye;
daah.v#2	daah.v	cregeen	cregeen:ghaah	singed, did singe;
daaghey.v#1	daaghey.v	cregeen	cregeen:daaghey	dying, colouring
daaghey.v#2	daaghey.v	cregeen	cregeen:nyn daaghey	your, &c. frequenting;
daahder.n#1	daahder.n	cregeen	cregeen:daahder	a dyer
daahder.n#2	daahder.n	cregeen	cregeen:daahder	one that singes
darrag.n#1	darrag.n	cregeen	cregeen:darrag	a beam;
darrag.n#2	darrag.n	cregeen	cregeen:darrag	a fishing line made of black hair snooids
doaie.n#1	doaie.n	cregeen	cregeen:doaie	decency, suitableness, discreetness, worth
doaie.n#2	doaie.n	cregeen	cregeen:e woaie	his hatred or detestation
doaiagh.a#1	doaiagh.a	cregeen	cregeen:ro ghoaiagh	too decent, &c
doaiagh.a#2	doaiagh.a	cregeen	cregeen:ro woaiagh	too hateful or detestable
dhooag.n#1	dhooag.n	cregeen	cregeen:dhooag	an eclipse
dhooag.n#2	dhooag.n	cregeen	cregeen:dhooag	a general name for a black cow
e.x#1	e.x	cregeen	cregeen:e	of wonder or surprise
e.x#2	e.x	cregeen	cregeen:e	his, her, hers., The words initialled by mutable consonants that follow the e (…
eab.v#1	eab.v	cregeen	cregeen:eab	attempt, &c.;
eab.v#2	eab.v	cregeen	cregeen:cha deab	did not form or plan
eaynnee.a#1	eaynnee.a	cregeen	cregeen:ny heaynnee	of the precipice or hogh
eaynnee.a#2	eaynnee.a	cregeen	cregeen:eaynnee	of a desert or wilderness
edd.n#1	edd.n	cregeen	cregeen:edd	a hat
edd.n#2	edd.n	cregeen	cregeen:edd	a nest;
idd.a#1	idd.a	cregeen	cregeen:idd	of a hat or hats
idd.a#2	idd.a	cregeen	cregeen:idd	of a nest or nests
idd.n#1	idd.n	cregeen	cregeen:nyn nidd	pl. your, &c. hats
idd.n#2	idd.n	cregeen	cregeen:e hidd	her nests
shegin.v#1	shegin.v	cregeen	cregeen:shegin	must, shall, (shyin)
shegin.v#2	shegin.v	cregeen	cregeen:shegin	lurking for, lying in wait;
eie.n#1	eie.n	cregeen	cregeen:eie	idea;
eie.n#2	eie.n	cregeen	cregeen:eie	meddle;, This word may seem strange as it has no substantive in English
enn.v#1	enn.v	cregeen	cregeen:cha denn	did not feel, not felt, or felt not.
enn.v#2	enn.v	cregeen	cregeen:enn	to know or have knowledge of
skyn.x#1	skyn.x	cregeen	cregeen:er nyn skyn	above us, you, them
skyn.x#2	skyn.x	cregeen	cregeen:skyn	‘top’
erin.n#1	erin.n	cregeen	cregeen:Erin	Ireland.
